track_name;artist(s)_name;artist_count;released_year;released_month;in_spotify_playlists;streams;key;mode;danceability_%;cover_url
Seven (feat. Latto) (Explicit Ver.);Latto, Jung Kook;2;2023;7;553;141381703;B;Major;80;Not Found
LALA;Myke Towers;1;2023;3;1474;133716286;C#;Major;71;https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
vampire;Olivia Rodrigo;1;2023;6;1397;140003974;F;Major;51;https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Cruel Summer;Taylor Swift;1;2019;8;7858;800840817;A;Major;55;https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
WHERE SHE GOES;Bad Bunny;1;2023;5;3133;303236322;A;Minor;65;https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
Sprinter;Dave, Central Cee;2;2023;6;2186;183706234;C#;Major;92;https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;3;3090;725980112;F;Minor;67;https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef
Columbia;Quevedo;1;2023;7;714;58149378;F;Major;67;https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9
fukumean;Gunna;1;2023;5;1096;95217315;C#;Minor;85;https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
A;Gunna;1;2023;5;1096;95217315;C#;Minor;85;https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
B;Gunna;1;2023;5;1096;95217315;C#;Minor;85;https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
