Code;track_name;artist(s)_name;artist_count;released_year;released_month;in_spotify_playlists;streams;key;mode;danceability_%;cover_url
1;Agudo Mï¿½ï¿½gi;Styrx, utku INC, Thezth;3;1930;1;323;90598517;F#;Minor;65;Not Found
2;White Christmas;Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers;3;1942;1;11940;395591396;A;Major;23;https://i.scdn.co/image/ab67616d0000b273481bb0db1e8bd0c7104368a4
3;The Christmas Song (Merry Christmas To You) - Remastered 1999;Nat King Cole;1;1946;11;11500;389771964;C#;Major;36;https://i.scdn.co/image/ab67616d0000b273e02cc6524dcecb6608fee0b3
4;Let It Snow! Let It Snow! Let It Snow!;Frank Sinatra, B. Swanson Quartet;2;1950;1;10585;473248298;D;Major;60;https://i.scdn.co/image/ab67616d0000b273df1066335619efa75889bcfc
5;A Holly Jolly Christmas - Single Version;Burl Ives;1;1952;1;7930;395591396;;Major;67;https://i.scdn.co/image/ab67616d0000b273b9b921f8a3b8f0b20f73cb98
6;Jingle Bell Rock;Bobby Helms;1;1957;1;10326;741301563;D;Major;74;https://i.scdn.co/image/ab67616d0000b273fd56f3c7a294f5cfe51c7b17
7;Jingle Bells - Remastered 1999;Frank Sinatra;1;1957;1;4326;178660459;G#;Major;51;https://i.scdn.co/image/ab67616d0000b27352693de430023c13b7976490
8;Rockin' Around The Christmas Tree;Brenda Lee;1;1958;1;14994;769213520;G#;Major;70;https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3
9;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra;3;1958;1;6290;295998468;G;Major;73;Not Found
10;Run Rudolph Run - Single Version;Chuck Berry;1;1958;1;8612;245350949;G;Minor;69;https://i.scdn.co/image/ab67616d0000b27393cc654759c909d4c1123739
11;Deck The Hall - Remastered 1999;Nat King Cole;1;1959;1;3299;127027715;F#;Minor;69;https://i.scdn.co/image/ab67616d0000b273e506bca2ef0760607289c9a9
12;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;1;1959;11;6512;446390129;C#;Major;45;https://i.scdn.co/image/ab67616d0000b273e359bd02a639a4d01b8241ae
13;It's the Most Wonderful Time of the Year;Andy Williams;1;1963;10;8879;663832097;G;Major;24;https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356
14;Sleigh Ride;The Ronettes;1;1963;11;10114;404664135;D;Major;53;https://i.scdn.co/image/ab67616d0000b273adad4220d51bd720481d4be4
15;Christmas (Baby Please Come Home);Darlene Love;1;1963;11;9122;242767149;D#;Major;34;https://i.scdn.co/image/ab67616d0000b273adad4220d51bd720481d4be4
16;Have You Ever Seen The Rain?;Creedence Clearwater Revival;1;1968;7;15890;1145727611;;Major;74;https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91
18;Feliz Navidad;Josï¿½ï¿½ Felic;1;1970;11;3788;520034544;D;Major;50;Not Found
19;Happy Xmas (War Is Over);John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono;4;1971;12;10829;460492795;D;Major;33;https://i.scdn.co/image/ab67616d0000b273c63204be472d8bb88c41051d
20;Dream On;Aerosmith;1;1973;1;168;838586769;F;Minor;39;https://i.scdn.co/image/ab67616d0000b273bbf0146981704a073405b6c2
21;Riptide;Vance Joy;1;1975;1;31123;2009094673;C#;Major;48;https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03
22;Bohemian Rhapsody - Remastered 2011;Queen;1;1975;10;40112;2197010679;;Minor;41;https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a
23;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;1;1979;11;1685;403939487;B;Major;75;https://i.scdn.co/image/ab67616d0000b2733cef016d13d82873d45af84a
24;Pass The Dutchie;Musical Youth;1;1982;1;5328;195918494;G;Major;73;https://i.scdn.co/image/ab67616d0000b27392a9d95df51a8d84f90166a6
25;Miss You;Southstar;1;1982;5;2020;154356956;A;Major;66;https://i.scdn.co/image/ab67616d0000b2731b5f2557a7fe884d0e3d8b2a
26;Every Breath You Take - Remastered 2003;The Police;1;1983;1;22439;1593270737;C#;Major;82;https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014
27;Last Christmas;Wham!;1;1984;1;22153;1159176109;B;Minor;74;https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d
28;Merry Christmas Everyone;Shakin' Stevens;1;1984;1;1087;351636786;C#;Minor;72;https://i.scdn.co/image/ab67616d0000b273d962f3b4235f8c6429a829fb
29;Take On Me;a-ha;1;1984;10;44927;1479115056;F#;Minor;57;https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53
30;Do They Know It's Christmas? - 1984 Version;Band Aid;1;1984;11;14169;481697415;;Major;60;https://i.scdn.co/image/ab67616d0000b273d549b09f0264901929eaa6e8
31;Everybody Wants To Rule The World;Tears For Fears;1;1985;2;41751;1205951614;G;Major;64;https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235
32;Running Up That Hill (A Deal With God);Kate Bush;1;1985;9;21811;1024858327;A#;Minor;63;https://i.scdn.co/image/ab67616d0000b273ad08f4b38efbff0c0da0f252
33;Driving Home for Christmas - 2019 Remaster;Chris Rea;1;1986;1;888;429504768;A;Major;51;https://i.scdn.co/image/ab67616d0000b273d8a8b34740a0289f7427b36a
34;Master of Puppets (Remastered);Metallica;1;1986;3;6080;704171068;E;Minor;54;https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa
35;Sweet Child O' Mine;Guns N' Roses;1;1987;1;41231;1553497987;F#;Major;45;https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
36;Smells Like Teen Spirit - Remastered 2021;Nirvana;1;1991;9;49991;1690192927;C#;Major;52;https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056
37;Something In The Way - Remastered 2021;Nirvana;1;1991;9;9514;368646862;G#;Major;44;https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056
38;Creep;Radiohead;1;1992;9;36724;1271293243;G;Major;53;https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95
39;All I Want for Christmas Is You;Mariah Carey;1;1994;10;25653;1449779435;G;Major;34;https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
40;Gangsta's Paradise;Coolio, L.V.;2;1995;7;10624;1357608774;G#;Major;63;https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc
41;California Love - Original Version (Explicit);Dr. Dre, 2Pac, Roger;3;1995;12;18773;579395142;G;Major;77;Not Found
42;Sigue;Ed Sheeran, J Balvin;2;1996;11;1370;106933107;G;Major;89;Not Found
43;Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe;sped up 8282;1;1997;1;472;103762518;F;Major;74;Not Found
44;Iris;The Goo Goo Dolls;1;1998;3;13101;1284942608;B;Minor;32;https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca
45;Yellow;Chris Molitor;1;1999;1;31358;1755214421;B;Major;43;https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774
46;Still D.R.E.;Dr. Dre, Snoop Dogg;2;1999;1;33966;1210599487;B;Major;81;https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5
47;The Next Episode;Dr. Dre, Snoop Dogg;2;1999;1;31762;843309044;D#;Minor;92;https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5
48;Forgot About Dre;Eminem, Dr. Dre;2;1999;1;19067;675039469;G#;Major;93;Not Found
49;Stan;Eminem, Dido;2;1999;11;17115;918915401;F#;Minor;78;https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42
50;The Real Slim Shady;Eminem;1;2000;1;20763;1424589568;F;Minor;95;https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42
51;Sparks;Coldplay;1;2000;7;10826;624101957;C#;Major;37;https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
52;In The End;Linkin Park;1;2000;10;25065;1624165576;D#;Minor;55;https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
53;My Only Wish (This Year);Britney Spears;1;2000;11;6952;261116938;;Major;67;https://i.scdn.co/image/ab67616d0000b27316ed688a08ecd351560f4566
54;Without Me;Eminem;1;2002;1;21081;1687664027;G;Major;92;https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
55;Lose Yourself - Soundtrack Version;Eminem;1;2002;1;32502;1829992958;D;Major;70;Not Found
56;In Da Club;50 Cent;1;2002;1;30427;1202722675;F#;Minor;90;https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf
57;Superman;Eminem, Dina Rae;2;2002;5;7615;655466831;E;Minor;80;https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
58;'Till I Collapse;Eminem, Nate Dogg;2;2002;5;22923;1695712020;C#;Major;55;https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
59;The Scientist;Coldplay;1;2002;8;30992;1608164312;F;Major;56;https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82
60;Numb;Linkin Park;1;2003;3;20111;1361425037;A;Major;50;https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193
61;Mr. Brightside;The Killers;1;2003;9;51979;1806617704;C#;Major;35;https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
62;Mockingbird;Eminem;1;2004;1;12985;1241559043;E;Minor;62;https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023
63;Somewhere Only We Know;Keane;1;2004;1;20015;1089402494;A;Major;45;https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490
64;Yo Voy (feat. Daddy Yankee);Zion & Lennox;1;2004;5;2954;527033089;A#;Major;81;https://i.scdn.co/image/ab67616d0000b27387d3146807ad53b05a7daaac
65;Gasolina;Daddy Yankee;1;2004;7;6457;657723613;;Major;86;https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c
66;You Make It Feel Like Christmas (feat. Blake Shelton);Gwen Stefani, Blake Shelton;2;2005;9;2577;180577478;F;Major;63;https://i.scdn.co/image/ab67616d0000b273f1ead165a7504b97e66ea7c4
67;505;Arctic Monkeys;1;2007;4;13985;1217120710;;Major;52;https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90
68;Viva La Vida;Coldplay;1;2008;1;33898;1592909789;F;Minor;49;https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e
69;Heartless;Kanye West;1;2008;1;17504;887906111;A#;Minor;79;https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18
70;Danza Kuduro;Don Omar, Lucenzo;2;2010;1;17138;1279434863;;Major;47;https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94
71;Enchanted;Taylor Swift;1;2010;1;4564;621660989;G#;Major;45;https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
72;Just The Way You Are;Bruno Mars;1;2010;1;21106;1641426668;F;Major;63;https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
73;Sure Thing;Miguel;1;2010;5;13801;950906471;B;Minor;68;https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c
74;Es un Secreto;Plan B;1;2010;7;492;540654286;F#;Minor;84;https://i.scdn.co/image/ab67616d0000b273913ef74e0272d688c512200b
75;Talking To The Moon;Bruno Mars;1;2010;10;7109;1062956628;C#;Minor;52;https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
76;Rolling in the Deep;Adele;1;2010;11;35684;1472799873;G#;Major;73;https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
77;Summertime Sadness;Lana Del Rey;1;2011;1;20333;983637508;C#;Minor;56;https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7
78;Set Fire to the Rain;Adele;1;2011;1;14739;1163620694;D;Minor;61;https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
79;Radio;Lana Del Rey;1;2011;1;9389;284819874;D;Major;42;https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7
80;We Found Love;Rihanna, Calvin Harris;2;2011;1;36843;1235005533;C#;Major;73;https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46
81;Bloody Mary;Lady Gaga;1;2011;1;3909;372476382;A;Minor;59;https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8
82;Mistletoe;Justin Bieber;1;2011;1;9577;629173063;F#;Minor;67;https://i.scdn.co/image/ab67616d0000b273490aa128e07cd31504ae8f86
83;Somebody That I Used To Know;Gotye, Kimbra;2;2011;1;42798;1457139296;;Major;86;https://i.scdn.co/image/ab67616d0000b273e1d47c00ddecbfb810c807ed
84;Can't Hold Us (feat. Ray Dalton);Ray Dalton, Ryan Lewis, Macklemore;3;2011;8;6074;1953533826;D;Major;63;Not Found
85;It's Beginning To Look A Lot Like Christmas;Michael Bublï¿;1;2011;10;12353;807561936;E;Major;35;Not Found
86;Holly Jolly Christmas;Michael Bublï¿;1;2011;10;7655;476244795;G;Major;65;Not Found
